Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
CARD_REFUND,Current,2024-11-22 23:09:40,2024-11-23 11:24:59,Netflix,5639.49,0.00,HUF,COMPLETED,5639.49
CARD_PAYMENT,Current,2024-11-22 01:00:00,2024-11-24 09:35:40,Netflix,-5639.49,0.00,HUF,COMPLETED,0.00
CARD_REFUND,Current,2024-11-25 18:33:17,2024-11-26 10:04:54,Netflix,1621.93,0.00,HUF,COMPLETED,1621.93
CARD_REFUND,Current,2024-11-27 01:00:00,2024-11-27 11:30:51,Netflix,5634.62,0.00,HUF,COMPLETED,7256.55
TOPUP,Current,2025-05-26 19:15:55,2025-05-26 19:15:57,Google Pay Top-Up by *4250,155.00,0.00,EUR,COMPLETED,155.00
TRANSFER,Current,2025-05-26 19:18:01,2025-05-27 02:56:50,University Fee,-150.00,0.00,EUR,COMPLETED,5.00
CARD_PAYMENT,Current,2025-06-02 19:50:03,2025-06-04 11:52:30,Spotify,-1.00,0.00,EUR,COMPLETED,4.00
CARD_PAYMENT,Current,2024-04-21 11:56:20,2024-04-22 20:47:17,Netflix,-17.09,0.17,USD,COMPLETED,31.02
TOPUP,Current,2025-06-12 11:35:00,2025-06-12 11:36:00,Google Pay Top-Up by *1234,200.00,0.00,USD,COMPLETED,204.00
